,Timestamps,Volume,Low,Open,High,Close,Datetime
0,1637937000,5540326,159.3000030517578,159.56500244140625,160.4499969482422,160.25999450683594,2021-11-26 08:30:00
1,1637937300,2061096,159.74000549316406,160.25,160.27000427246094,159.8300018310547,2021-11-26 08:35:00
2,1637937600,1847991,159.25999450683594,159.83999633789062,160.00999450683594,159.272705078125,2021-11-26 08:40:00
3,1637937900,2335153,158.57000732421875,159.0,159.0500030517578,158.63999938964844,2021-11-26 08:45:00
4,1637938200,1677915,158.5,158.5,158.77499389648438,158.50999450683594,2021-11-26 08:50:00
5,1637938500,1675949,158.47999572753906,158.5,158.9199981689453,158.75,2021-11-26 08:55:00
6,1637938800,1400565,158.44000244140625,158.74000549316406,158.97000122070312,158.4499969482422,2021-11-26 09:00:00
7,1637939100,1396552,158.00999450683594,158.4499969482422,158.63999938964844,158.30650329589844,2021-11-26 09:05:00
8,1637939400,1386492,158.02000427246094,158.2899932861328,158.35000610351562,158.11289978027344,2021-11-26 09:10:00
9,1637939700,1918495,157.82000732421875,158.11990356445312,158.35000610351562,158.02000427246094,2021-11-26 09:15:00
10,1637940000,1363681,157.72999572753906,158.02000427246094,158.25,157.7530059814453,2021-11-26 09:20:00
11,1637940300,1578735,157.5800018310547,157.7698974609375,158.2050018310547,158.13999938964844,2021-11-26 09:25:00
12,1637940600,1160590,157.74000549316406,158.14999389648438,158.16000366210938,157.91439819335938,2021-11-26 09:30:00
13,1637940900,1042372,157.91000366210938,157.92999267578125,158.24000549316406,157.93499755859375,2021-11-26 09:35:00
14,1637941200,979020,157.77999877929688,157.94000244140625,158.07000732421875,157.89500427246094,2021-11-26 09:40:00
15,1637941500,1191269,157.63999938964844,157.8800048828125,157.99000549316406,157.8300018310547,2021-11-26 09:45:00
16,1637941800,1186796,157.58999633789062,157.83009338378906,157.89999389648438,157.61000061035156,2021-11-26 09:50:00
17,1637942100,1318403,157.42999267578125,157.6199951171875,157.67140197753906,157.610107421875,2021-11-26 09:55:00
18,1637942400,1455820,157.1999969482422,157.61000061035156,157.61500549316406,157.28990173339844,2021-11-26 10:00:00
19,1637942700,1294906,157.25,157.2899932861328,157.52999877929688,157.44000244140625,2021-11-26 10:05:00
20,1637943000,1657029,156.89999389648438,157.44000244140625,157.53500366210938,157.05870056152344,2021-11-26 10:10:00
21,1637943300,1671313,156.9199981689453,157.0399932861328,157.3300018310547,156.9862060546875,2021-11-26 10:15:00
22,1637943600,925515,156.9600067138672,156.9949951171875,157.22999572753906,157.11000061035156,2021-11-26 10:20:00
23,1637943900,1020758,157.10009765625,157.1094970703125,157.4499969482422,157.44000244140625,2021-11-26 10:25:00
24,1637944200,1144425,157.24000549316406,157.44000244140625,157.58999633789062,157.4456024169922,2021-11-26 10:30:00
25,1637944500,1001424,157.39999389648438,157.42999267578125,157.86000061035156,157.83999633789062,2021-11-26 10:35:00
26,1637944800,1163967,157.72000122070312,157.8300018310547,158.0399932861328,157.9600067138672,2021-11-26 10:40:00
27,1637945100,1040024,157.8699951171875,157.97000122070312,158.0500030517578,157.96499633789062,2021-11-26 10:45:00
28,1637945400,1022089,157.80999755859375,157.9600067138672,158.0800018310547,157.91000366210938,2021-11-26 10:50:00
29,1637945700,968421,157.86000061035156,157.91119384765625,158.18499755859375,158.08999633789062,2021-11-26 10:55:00
30,1637946000,983486,157.80259704589844,158.08999633789062,158.22500610351562,158.0200958251953,2021-11-26 11:00:00
31,1637946300,774632,157.82400512695312,158.02000427246094,158.11000061035156,157.8800048828125,2021-11-26 11:05:00
32,1637946600,1102843,157.625,157.88999938964844,157.9600067138672,157.72000122070312,2021-11-26 11:10:00
33,1637946900,818988,157.55999755859375,157.72999572753906,157.85499572753906,157.57000732421875,2021-11-26 11:15:00
34,1637947200,961509,157.47999572753906,157.57000732421875,157.8300018310547,157.58099365234375,2021-11-26 11:20:00
35,1637947500,1008076,157.52999877929688,157.5800018310547,157.8699951171875,157.75999450683594,2021-11-26 11:25:00
36,1637947800,1082565,157.57000732421875,157.75,157.8800048828125,157.63499450683594,2021-11-26 11:30:00
37,1637948100,1226464,157.4600067138672,157.6300048828125,157.72000122070312,157.52000427246094,2021-11-26 11:35:00
38,1637948400,1300027,157.38999938964844,157.52999877929688,157.625,157.4250030517578,2021-11-26 11:40:00
39,1637948700,1733469,157.05999755859375,157.4199981689453,157.51499938964844,157.13999938964844,2021-11-26 11:45:00
40,1637949000,3423901,156.5,157.13999938964844,157.39999389648438,156.52000427246094,2021-11-26 11:50:00
41,1637949300,5770613,156.36000061035156,156.5399932861328,157.69000244140625,156.8800048828125,2021-11-26 11:55:00
42,1637949600,0,156.80999755859375,156.8800048828125,157.82949829101562,157.4600067138672,2021-11-26 12:00:00
